Index	Name	Type	Nullable	References	Description
1	starelid	oid	false		"the table or index that the described column belongs to"
2	staattnum	int2	false		"the number of the described column"
3	stainherit	bool	false		"if true, the stats include values from child tables, not just the values in the specified relation"
4	stanullfrac	float4	false		"the fraction of the column's entries that are null"
5	stawidth	int4	false		"the average stored width, in bytes, of nonnull entries"
6	stadistinct	float4	false		"the number of distinct nonnull data values in the column. a value greater than zero is the actual number of distinct values. a value less than zero is the negative of a multiplier for the number of rows in the table; for example, a column in which about 80% of the values are nonnull and each nonnull value appears about twice on average could be represented by stadistinct = -0.4. a zero value means the number of distinct values is unknown."
7	stakind1	smallint	false		<undocumented>
8	stakind2	smallint	false		<undocumented>
9	stakind3	smallint	false		<undocumented>
10	stakind4	smallint	false		<undocumented>
11	stakind5	smallint	false		<undocumented>
12	staop1	oid	false		<undocumented>
13	staop2	oid	false		<undocumented>
14	staop3	oid	false		<undocumented>
15	staop4	oid	false		<undocumented>
16	staop5	oid	false		<undocumented>
17	stacoll1	oid	false		<undocumented>
18	stacoll2	oid	false		<undocumented>
19	stacoll3	oid	false		<undocumented>
20	stacoll4	oid	false		<undocumented>
21	stacoll5	oid	false		<undocumented>
22	stanumbers1	real[]	true		<undocumented>
23	stanumbers2	real[]	true		<undocumented>
24	stanumbers3	real[]	true		<undocumented>
25	stanumbers4	real[]	true		<undocumented>
26	stanumbers5	real[]	true		<undocumented>
27	stavalues1	anyarray	true		<undocumented>
28	stavalues2	anyarray	true		<undocumented>
29	stavalues3	anyarray	true		<undocumented>
30	stavalues4	anyarray	true		<undocumented>
31	stavalues5	anyarray	true		<undocumented>
7	stakindn	int2			"a code number indicating the kind of statistics stored in the nth ""slot"" of the pg_statistic row."
8	staopn	oid			"an operator used to derive the statistics stored in the nth ""slot"". for example, a histogram slot would show the < operator that defines the sort order of the data. zero if the statistics kind does not require an operator."
9	stacolln	oid			"the collation used to derive the statistics stored in the nth ""slot"". for example, a histogram slot for a collatable column would show the collation that defines the sort order of the data. zero for noncollatable data."
10	stanumbersn	float4[]			"numerical statistics of the appropriate kind for the nth ""slot"", or null if the slot kind does not involve numerical values"
11	stavaluesn	anyarray			"column data values of the appropriate kind for the nth ""slot"", or null if the slot kind does not store any data values. each array's element values are actually of the specific column's data type, or a related type such as an array's element type, so there is no way to define these columns' type more specifically than anyarray."
